Lead ID,Location,College,Year of Study,Program Interest,Lead Source
LD117,Ahmedabad,ABC Institute,3rd,Robotics,Google Form
LD118,Surat,XYZ University,3rd,AI,College Collaboration
LD119,Pune,DEF Academy,1st,Data Science,Mass-Mailing
LD120,Surat,PQR College,2nd,Robotics,Instagram
LD121,Pune,DEF Academy,2nd,AI,Google Form
LD122,Mumbai,ABC Institute,2nd,AI,Instagram
LD123,Pune,PQR College,2nd,AI,Mass-Mailing
LD124,Ahmedabad,PQR College,3rd,Data Science,Whatsapp
LD125,Surat,ABC Institute,3rd,Electric Vehicle,Instagram
LD126,Delhi,XYZ University,2nd,Data Science,Google Form
LD127,Mumbai,XYZ University,3rd,Data Science,Google Form
LD128,Surat,XYZ University,4th,Robotics,Instagram
LD129,Surat,ABC Institute,1st,Data Science,College Collaboration
LD130,Mumbai,PQR College,1st,Electric Vehicle,Whatsapp
LD131,Surat,DEF Academy,1st,Data Science,Mass-Mailing
LD132,Mumbai,DEF Academy,2nd,AI,College Collaboration
LD133,Surat,PQR College,3rd,Robotics,College Collaboration
LD134,Delhi,XYZ University,1st,Robotics,Whatsapp
LD135,Delhi,XYZ University,4th,Data Science,Whatsapp
LD136,Pune,XYZ University,3rd,Electric Vehicle,Google Form
LD137,Delhi,ABC Institute,2nd,Electric Vehicle,Whatsapp
LD138,Pune,DEF Academy,1st,Data Science,Mass-Mailing
LD139,Ahmedabad,DEF Academy,1st,AI,Instagram
LD140,Ahmedabad,DEF Academy,4th,Robotics,Whatsapp
LD141,Mumbai,ABC Institute,2nd,Electric Vehicle,Mass-Mailing
LD142,Delhi,PQR College,2nd,Data Science,Whatsapp
LD143,Ahmedabad,XYZ University,2nd,Electric Vehicle,Instagram
LD144,Delhi,XYZ University,3rd,Electric Vehicle,College Collaboration
LD145,Delhi,ABC Institute,4th,AI,Google Form
LD146,Pune,DEF Academy,3rd,Data Science,Instagram
LD147,Ahmedabad,XYZ University,3rd,Data Science,Whatsapp
LD148,Pune,ABC Institute,3rd,Robotics,Whatsapp
LD149,Ahmedabad,PQR College,3rd,AI,Google Form
LD150,Ahmedabad,ABC Institute,3rd,AI,Google Form
LD151,Surat,ABC Institute,2nd,AI,LinkedIn
LD152,Delhi,PQR College,4th,AI,Instagram
LD153,Mumbai,ABC Institute,3rd,Data Science,College Collaboration
LD154,Surat,ABC Institute,2nd,Electric Vehicle,Mass-Mailing
LD155,Ahmedabad,DEF Academy,2nd,Data Science,LinkedIn
LD156,Pune,XYZ University,2nd,Data Science,LinkedIn
LD157,Delhi,DEF Academy,2nd,Electric Vehicle,LinkedIn
LD158,Pune,ABC Institute,3rd,Robotics,Google Form
LD159,Delhi,PQR College,4th,Data Science,LinkedIn
LD160,Pune,DEF Academy,4th,Data Science,College Collaboration
LD161,Ahmedabad,DEF Academy,1st,Robotics,Instagram
LD162,Surat,XYZ University,2nd,Electric Vehicle,Google Form
LD163,Surat,XYZ University,3rd,Data Science,Google Form
LD164,Ahmedabad,XYZ University,3rd,AI,College Collaboration
LD165,Ahmedabad,PQR College,1st,Robotics,College Collaboration
LD166,Surat,XYZ University,2nd,AI,College Collaboration
LD167,Ahmedabad,DEF Academy,3rd,AI,Google Form
LD168,Pune,DEF Academy,3rd,AI,College Collaboration
LD169,Mumbai,PQR College,4th,Data Science,College Collaboration
LD170,Delhi,XYZ University,4th,Electric Vehicle,LinkedIn
LD171,Mumbai,XYZ University,2nd,Electric Vehicle,Mass-Mailing
LD172,Mumbai,PQR College,4th,Data Science,Instagram
LD173,Mumbai,ABC Institute,1st,Robotics,Whatsapp
LD174,Delhi,DEF Academy,4th,Electric Vehicle,Instagram
LD175,Pune,XYZ University,4th,Data Science,LinkedIn
LD176,Pune,PQR College,1st,AI,College Collaboration
LD177,Ahmedabad,XYZ University,4th,Data Science,LinkedIn
LD178,Mumbai,DEF Academy,1st,Robotics,LinkedIn
LD179,Ahmedabad,ABC Institute,2nd,Robotics,Whatsapp
LD180,Mumbai,XYZ University,4th,Electric Vehicle,College Collaboration
LD181,Mumbai,DEF Academy,4th,Data Science,College Collaboration
LD182,Ahmedabad,PQR College,3rd,AI,LinkedIn
LD183,Pune,ABC Institute,3rd,AI,Mass-Mailing
LD184,Pune,XYZ University,4th,AI,College Collaboration
LD185,Pune,ABC Institute,3rd,Data Science,Google Form
LD186,Ahmedabad,ABC Institute,2nd,Electric Vehicle,LinkedIn
LD187,Pune,XYZ University,4th,Robotics,College Collaboration
LD188,Ahmedabad,PQR College,3rd,Robotics,College Collaboration
LD189,Ahmedabad,PQR College,1st,Electric Vehicle,Google Form
LD190,Mumbai,XYZ University,2nd,AI,Instagram
LD191,Mumbai,ABC Institute,3rd,AI,Mass-Mailing
LD192,Delhi,ABC Institute,3rd,Robotics,College Collaboration
LD193,Surat,ABC Institute,4th,Electric Vehicle,LinkedIn
LD194,Ahmedabad,XYZ University,1st,AI,LinkedIn
LD195,Mumbai,PQR College,2nd,Robotics,Instagram
LD196,Delhi,XYZ University,3rd,Robotics,Google Form
LD197,Ahmedabad,PQR College,3rd,AI,Mass-Mailing
LD198,Delhi,XYZ University,3rd,Electric Vehicle,Google Form
LD199,Mumbai,PQR College,4th,Robotics,College Collaboration
LD200,Ahmedabad,ABC Institute,4th,Electric Vehicle,Mass-Mailing
LD201,Delhi,XYZ University,4th,AI,Instagram
LD202,Ahmedabad,PQR College,4th,Data Science,LinkedIn
LD203,Surat,ABC Institute,1st,Electric Vehicle,Whatsapp
LD204,Mumbai,ABC Institute,3rd,Electric Vehicle,Instagram
LD205,Pune,XYZ University,4th,Robotics,Whatsapp
LD206,Ahmedabad,XYZ University,3rd,Data Science,Mass-Mailing
LD207,Surat,XYZ University,1st,AI,Mass-Mailing
LD208,Surat,DEF Academy,1st,Data Science,College Collaboration
LD209,Ahmedabad,PQR College,2nd,Electric Vehicle,LinkedIn
LD210,Ahmedabad,DEF Academy,1st,Data Science,College Collaboration
LD211,Delhi,PQR College,1st,Robotics,Google Form
LD212,Pune,XYZ University,3rd,AI,Whatsapp
LD213,Pune,ABC Institute,4th,Data Science,LinkedIn
LD214,Ahmedabad,PQR College,1st,Electric Vehicle,Mass-Mailing
LD215,Mumbai,PQR College,1st,AI,Google Form
LD216,Ahmedabad,XYZ University,3rd,Data Science,College Collaboration
LD217,Mumbai,XYZ University,2nd,Electric Vehicle,College Collaboration
LD218,Pune,DEF Academy,1st,Data Science,Mass-Mailing
LD219,Pune,PQR College,3rd,AI,Mass-Mailing
LD220,Surat,ABC Institute,4th,Electric Vehicle,Instagram
LD221,Ahmedabad,DEF Academy,1st,AI,Mass-Mailing
LD222,Pune,XYZ University,1st,Robotics,Instagram
LD223,Delhi,ABC Institute,4th,Robotics,Google Form
LD224,Delhi,XYZ University,4th,Data Science,Mass-Mailing
LD225,Pune,XYZ University,1st,Robotics,Instagram
LD226,Surat,PQR College,3rd,Electric Vehicle,Whatsapp
LD227,Surat,DEF Academy,3rd,Robotics,Mass-Mailing
LD228,Pune,DEF Academy,4th,Data Science,Instagram
LD229,Pune,DEF Academy,3rd,Data Science,College Collaboration
LD230,Pune,PQR College,1st,AI,Instagram
LD231,Mumbai,DEF Academy,2nd,AI,Whatsapp
LD232,Surat,XYZ University,3rd,Electric Vehicle,Google Form
LD233,Surat,XYZ University,3rd,Data Science,LinkedIn
LD234,Ahmedabad,XYZ University,3rd,Robotics,LinkedIn
LD235,Ahmedabad,XYZ University,3rd,Electric Vehicle,LinkedIn
LD236,Surat,ABC Institute,3rd,Electric Vehicle,College Collaboration
LD237,Surat,DEF Academy,1st,Electric Vehicle,Mass-Mailing
LD238,Mumbai,ABC Institute,2nd,Data Science,LinkedIn
LD239,Mumbai,ABC Institute,4th,Data Science,Whatsapp
LD240,Mumbai,DEF Academy,4th,AI,College Collaboration
LD241,Pune,DEF Academy,2nd,Data Science,Whatsapp
LD242,Pune,PQR College,3rd,Data Science,LinkedIn
LD243,Delhi,PQR College,1st,AI,Instagram
LD244,Surat,PQR College,3rd,Electric Vehicle,College Collaboration
LD245,Ahmedabad,PQR College,1st,Robotics,Instagram
LD246,Mumbai,PQR College,2nd,Robotics,College Collaboration
LD247,Delhi,DEF Academy,3rd,Data Science,Instagram
LD248,Delhi,DEF Academy,4th,Electric Vehicle,LinkedIn
LD249,Delhi,PQR College,1st,AI,LinkedIn
LD250,Ahmedabad,PQR College,1st,AI,College Collaboration
LD251,Delhi,XYZ University,3rd,Data Science,LinkedIn
LD252,Mumbai,ABC Institute,3rd,Electric Vehicle,Whatsapp
LD253,Pune,PQR College,2nd,Electric Vehicle,College Collaboration
LD254,Pune,DEF Academy,3rd,Robotics,College Collaboration
LD255,Delhi,XYZ University,2nd,Robotics,Google Form
LD256,Pune,XYZ University,3rd,Electric Vehicle,LinkedIn
LD257,Pune,PQR College,4th,Electric Vehicle,College Collaboration
LD258,Pune,XYZ University,2nd,Robotics,Google Form
LD259,Pune,ABC Institute,4th,Data Science,Whatsapp
LD260,Surat,PQR College,2nd,AI,Instagram
LD261,Mumbai,DEF Academy,3rd,Robotics,College Collaboration
LD262,Pune,PQR College,1st,Electric Vehicle,College Collaboration
LD263,Ahmedabad,DEF Academy,3rd,Data Science,Mass-Mailing
LD264,Delhi,XYZ University,2nd,Data Science,Instagram
LD265,Mumbai,ABC Institute,3rd,Electric Vehicle,Instagram
LD266,Pune,XYZ University,2nd,Robotics,Mass-Mailing
LD267,Delhi,DEF Academy,2nd,Robotics,LinkedIn
LD268,Ahmedabad,PQR College,4th,AI,Instagram
LD269,Mumbai,ABC Institute,3rd,Data Science,Google Form
LD270,Surat,ABC Institute,4th,Data Science,Google Form
LD271,Surat,PQR College,3rd,Robotics,Instagram
LD272,Mumbai,XYZ University,3rd,Data Science,Google Form
LD273,Delhi,PQR College,3rd,AI,Mass-Mailing
LD274,Mumbai,XYZ University,1st,AI,Mass-Mailing
LD275,Surat,XYZ University,1st,Data Science,Instagram
LD276,Ahmedabad,DEF Academy,3rd,Data Science,Whatsapp
LD277,Mumbai,XYZ University,2nd,Data Science,Whatsapp
LD278,Mumbai,PQR College,3rd,Electric Vehicle,Google Form
LD279,Pune,XYZ University,3rd,Robotics,LinkedIn
LD280,Pune,ABC Institute,3rd,AI,Mass-Mailing
LD281,Mumbai,ABC Institute,1st,Data Science,Whatsapp
LD282,Delhi,XYZ University,1st,Robotics,Whatsapp
LD283,Mumbai,XYZ University,1st,Robotics,College Collaboration
LD284,Mumbai,XYZ University,4th,Data Science,Google Form
LD285,Ahmedabad,XYZ University,1st,Robotics,Google Form
LD286,Pune,DEF Academy,4th,Robotics,Whatsapp
LD287,Mumbai,ABC Institute,4th,AI,College Collaboration
LD288,Ahmedabad,XYZ University,3rd,Robotics,Google Form
LD289,Mumbai,PQR College,4th,Data Science,Mass-Mailing
LD290,Ahmedabad,PQR College,3rd,AI,Mass-Mailing
LD291,Surat,XYZ University,4th,AI,Whatsapp
LD292,Ahmedabad,DEF Academy,1st,AI,LinkedIn
LD293,Surat,DEF Academy,3rd,Electric Vehicle,LinkedIn
LD294,Surat,XYZ University,3rd,Data Science,Instagram
LD295,Ahmedabad,XYZ University,4th,Robotics,College Collaboration
LD296,Mumbai,ABC Institute,1st,Robotics,Instagram
LD297,Ahmedabad,XYZ University,3rd,Data Science,Mass-Mailing
LD298,Pune,PQR College,4th,Robotics,College Collaboration
LD299,Surat,PQR College,2nd,Electric Vehicle,Mass-Mailing
LD300,Pune,ABC Institute,3rd,Electric Vehicle,LinkedIn
LD301,Mumbai,PQR College,1st,Electric Vehicle,LinkedIn
LD302,Ahmedabad,DEF Academy,3rd,Electric Vehicle,Mass-Mailing
LD303,Ahmedabad,XYZ University,3rd,AI,College Collaboration
LD304,Mumbai,XYZ University,4th,Data Science,Whatsapp
LD305,Pune,DEF Academy,4th,Data Science,Whatsapp
LD306,Delhi,ABC Institute,1st,Electric Vehicle,Google Form
LD307,Ahmedabad,DEF Academy,1st,Electric Vehicle,LinkedIn
LD308,Delhi,ABC Institute,1st,Robotics,Instagram
LD309,Pune,PQR College,1st,AI,Instagram
LD310,Pune,PQR College,2nd,AI,College Collaboration
LD311,Ahmedabad,PQR College,3rd,Robotics,College Collaboration
LD312,Delhi,XYZ University,1st,Data Science,Google Form
LD313,Surat,PQR College,2nd,Robotics,Instagram
LD314,Delhi,DEF Academy,1st,Electric Vehicle,College Collaboration
LD315,Ahmedabad,XYZ University,1st,Data Science,Whatsapp
LD316,Pune,ABC Institute,3rd,AI,Instagram
LD317,Mumbai,ABC Institute,3rd,Robotics,Whatsapp
LD318,Ahmedabad,XYZ University,4th,Robotics,Google Form
LD319,Surat,DEF Academy,2nd,Robotics,Google Form
LD320,Surat,DEF Academy,2nd,Robotics,LinkedIn
LD321,Mumbai,DEF Academy,2nd,AI,Whatsapp
LD322,Mumbai,XYZ University,2nd,AI,College Collaboration
LD323,Ahmedabad,ABC Institute,3rd,Electric Vehicle,Instagram
LD324,Surat,ABC Institute,2nd,Data Science,Whatsapp
LD325,Mumbai,XYZ University,2nd,AI,Whatsapp
LD326,Mumbai,PQR College,4th,AI,Mass-Mailing
LD327,Surat,DEF Academy,1st,AI,Whatsapp
LD328,Mumbai,DEF Academy,2nd,Data Science,Instagram
LD329,Ahmedabad,XYZ University,3rd,AI,Google Form
LD330,Mumbai,XYZ University,1st,Data Science,Instagram
LD331,Mumbai,ABC Institute,2nd,Robotics,LinkedIn
LD332,Ahmedabad,XYZ University,2nd,AI,Instagram
LD333,Ahmedabad,XYZ University,4th,Data Science,College Collaboration
LD334,Mumbai,DEF Academy,3rd,Data Science,Instagram
LD335,Pune,ABC Institute,1st,Electric Vehicle,Google Form
LD336,Delhi,XYZ University,2nd,Robotics,College Collaboration
LD337,Surat,XYZ University,3rd,Electric Vehicle,Google Form
LD338,Pune,DEF Academy,1st,Electric Vehicle,Mass-Mailing
LD339,Delhi,XYZ University,4th,Robotics,Whatsapp
LD340,Delhi,PQR College,3rd,AI,Whatsapp
LD341,Ahmedabad,XYZ University,1st,Data Science,LinkedIn
LD342,Pune,DEF Academy,1st,AI,Google Form
LD343,Pune,XYZ University,4th,Electric Vehicle,Instagram
LD344,Ahmedabad,ABC Institute,4th,Robotics,LinkedIn
LD345,Delhi,ABC Institute,4th,Robotics,College Collaboration
LD346,Pune,PQR College,1st,Electric Vehicle,Mass-Mailing
LD347,Delhi,DEF Academy,2nd,AI,Instagram
LD348,Mumbai,XYZ University,4th,AI,Mass-Mailing
LD349,Delhi,ABC Institute,3rd,Robotics,Whatsapp
LD350,Delhi,XYZ University,4th,Electric Vehicle,Google Form
LD351,Mumbai,ABC Institute,1st,Robotics,Instagram
LD352,Mumbai,PQR College,3rd,Data Science,Instagram
LD353,Ahmedabad,DEF Academy,3rd,Robotics,Whatsapp
LD354,Delhi,PQR College,1st,AI,Mass-Mailing
LD355,Pune,XYZ University,4th,Data Science,College Collaboration
LD356,Delhi,DEF Academy,4th,Electric Vehicle,Whatsapp
LD357,Pune,ABC Institute,3rd,Data Science,Google Form
LD358,Delhi,PQR College,3rd,Data Science,LinkedIn
LD359,Pune,DEF Academy,1st,AI,Whatsapp
LD360,Mumbai,DEF Academy,1st,Robotics,Whatsapp
LD361,Surat,XYZ University,4th,Data Science,Google Form
LD362,Pune,XYZ University,2nd,Data Science,Whatsapp
LD363,Delhi,XYZ University,3rd,AI,Instagram
LD364,Surat,DEF Academy,3rd,AI,Google Form
LD365,Surat,XYZ University,3rd,AI,Google Form
LD366,Delhi,ABC Institute,2nd,AI,Whatsapp
LD367,Delhi,DEF Academy,4th,Data Science,Instagram
LD368,Ahmedabad,ABC Institute,2nd,AI,Mass-Mailing
LD369,Delhi,PQR College,1st,Data Science,LinkedIn
LD370,Surat,ABC Institute,1st,Data Science,Whatsapp
LD371,Pune,DEF Academy,4th,Data Science,Instagram
LD372,Surat,PQR College,2nd,AI,Google Form
LD373,Delhi,DEF Academy,4th,Data Science,LinkedIn
LD374,Pune,XYZ University,3rd,Robotics,College Collaboration
LD375,Pune,ABC Institute,1st,Electric Vehicle,LinkedIn
LD376,Delhi,DEF Academy,4th,Electric Vehicle,College Collaboration
LD377,Pune,XYZ University,2nd,Robotics,Whatsapp
LD378,Ahmedabad,DEF Academy,2nd,Robotics,College Collaboration
LD379,Mumbai,ABC Institute,2nd,Robotics,Whatsapp
LD380,Ahmedabad,PQR College,4th,Electric Vehicle,Instagram
LD381,Mumbai,DEF Academy,2nd,Robotics,Google Form
LD382,Delhi,PQR College,3rd,AI,College Collaboration
LD383,Mumbai,XYZ University,3rd,Electric Vehicle,Whatsapp
LD384,Delhi,DEF Academy,3rd,Robotics,Whatsapp
LD385,Delhi,PQR College,1st,AI,Mass-Mailing
LD386,Surat,PQR College,2nd,Data Science,Mass-Mailing
LD387,Ahmedabad,PQR College,3rd,Electric Vehicle,Mass-Mailing
LD388,Surat,DEF Academy,4th,Electric Vehicle,Whatsapp
LD389,Ahmedabad,DEF Academy,4th,AI,College Collaboration
LD390,Delhi,ABC Institute,3rd,Robotics,LinkedIn
LD391,Surat,ABC Institute,2nd,Data Science,Instagram
LD392,Mumbai,ABC Institute,4th,Data Science,Whatsapp
LD393,Surat,PQR College,4th,Robotics,College Collaboration
LD394,Ahmedabad,DEF Academy,4th,AI,Mass-Mailing
LD395,Surat,PQR College,2nd,Data Science,Google Form
LD396,Mumbai,DEF Academy,4th,AI,LinkedIn
LD397,Delhi,PQR College,2nd,Data Science,LinkedIn
LD398,Ahmedabad,ABC Institute,4th,AI,Whatsapp
LD399,Pune,PQR College,1st,Electric Vehicle,Instagram
LD400,Ahmedabad,ABC Institute,4th,Robotics,College Collaboration
LD401,Pune,ABC Institute,1st,Electric Vehicle,Whatsapp
LD402,Mumbai,DEF Academy,2nd,Robotics,Instagram
LD403,Surat,XYZ University,2nd,AI,College Collaboration
LD404,Surat,ABC Institute,2nd,AI,LinkedIn
LD405,Mumbai,XYZ University,2nd,Data Science,Whatsapp
LD406,Delhi,ABC Institute,4th,Electric Vehicle,Instagram
LD407,Delhi,ABC Institute,2nd,Robotics,LinkedIn
LD408,Pune,DEF Academy,1st,Robotics,Mass-Mailing
LD409,Ahmedabad,DEF Academy,2nd,Electric Vehicle,Whatsapp
LD410,Mumbai,DEF Academy,2nd,AI,College Collaboration
LD411,Mumbai,PQR College,3rd,Electric Vehicle,Instagram
LD412,Pune,ABC Institute,4th,Electric Vehicle,Google Form
LD413,Ahmedabad,PQR College,2nd,Robotics,Mass-Mailing
LD414,Surat,DEF Academy,2nd,Data Science,Instagram
LD415,Delhi,XYZ University,1st,Electric Vehicle,Whatsapp
LD416,Delhi,DEF Academy,4th,Electric Vehicle,College Collaboration
LD417,Surat,XYZ University,3rd,AI,College Collaboration
LD418,Pune,XYZ University,4th,Electric Vehicle,Whatsapp
LD419,Pune,ABC Institute,2nd,Electric Vehicle,Instagram
LD420,Mumbai,PQR College,2nd,Electric Vehicle,College Collaboration
LD421,Pune,ABC Institute,4th,Robotics,Whatsapp
LD422,Mumbai,XYZ University,1st,AI,Instagram
LD423,Pune,DEF Academy,3rd,Robotics,College Collaboration
LD424,Delhi,ABC Institute,2nd,Robotics,LinkedIn
LD425,Ahmedabad,ABC Institute,2nd,AI,LinkedIn
LD426,Surat,DEF Academy,1st,Data Science,LinkedIn
LD427,Mumbai,DEF Academy,3rd,Electric Vehicle,College Collaboration
LD428,Pune,PQR College,3rd,Data Science,Mass-Mailing
LD429,Delhi,DEF Academy,2nd,Robotics,College Collaboration
LD430,Delhi,DEF Academy,3rd,AI,College Collaboration
LD431,Pune,DEF Academy,1st,Robotics,College Collaboration
LD432,Delhi,PQR College,1st,AI,Mass-Mailing
LD433,Ahmedabad,DEF Academy,2nd,Electric Vehicle,Whatsapp
LD434,Pune,XYZ University,3rd,Electric Vehicle,LinkedIn
LD435,Mumbai,XYZ University,3rd,Robotics,Whatsapp
LD436,Pune,ABC Institute,4th,Electric Vehicle,Mass-Mailing
LD437,Mumbai,DEF Academy,3rd,Data Science,Google Form
LD438,Delhi,ABC Institute,2nd,Electric Vehicle,Google Form
LD439,Mumbai,XYZ University,4th,Data Science,Instagram
LD440,Mumbai,PQR College,2nd,Data Science,College Collaboration
LD441,Ahmedabad,XYZ University,4th,Data Science,Instagram
LD442,Mumbai,ABC Institute,3rd,Robotics,Whatsapp
LD443,Mumbai,ABC Institute,2nd,Electric Vehicle,Whatsapp
LD444,Pune,XYZ University,1st,Data Science,Mass-Mailing
